,Site,Name,rep,CN_weight,Percent.N,Percent.C,Lon,Lat,P_weight,P
1,APB,APB10,1,0.416000009,11.55722332,51.41690445,-73.8569,42.7196,0.688,0.467
2,APB,APB10,2,0.483999997,11.66961956,52.9846077,-73.8569,42.7196,0.388,0.301
3,APB,APB10,3,0.421999991,10.19817734,54.3344574,-73.8569,42.7196,0.444,0.26
4,APB,APB10,4,0.620999992,10.53434086,55.52376175,-73.8569,42.7196,0.504,0.406
5,APB,APB10,5,0.646000028,9.581285477,57.86336899,-73.8569,42.7196,0.526,0.444
6,APB,APB10,6,0.333999991,9.558167458,57.0145607,-73.8569,42.7196,0.507,0.475
7,APB,APB3,1,0.374000013,9.325390816,55.8381691,-73.8569,42.7196,0.383,0.343
8,APB,APB3,2,0.425000012,9.415559769,56.18628311,-73.8569,42.7196,0.516,0.382
9,APB,APB3,3,0.442999989,9.016492844,58.35673141,-73.8569,42.7196,NA,NA
10,APB,APB6,1,0.344000012,11.06208611,53.33930588,-73.8569,42.7196,0.371,0.358
11,APB,APB6,2,0.39199999,11.09262276,54.09393311,-73.8569,42.7196,0.37,0.317
12,APB,APB6,3,0.42899999,10.3271637,56.65911865,-73.8569,42.7196,0.369,0.313
13,APB,APB7,1,0.442999989,9.984457016,56.19062042,-73.8569,42.7196,0.528,0.389
14,APB,APB7,2,0.382999986,10.14987946,57.20576096,-73.8569,42.7196,0.619,0.5
15,Bard,Bard3,1,0.799000025,9.974023819,56.0220871,-73.9169,42.0177,0.641,0.453
16,Bard,Bard3,2,0.623000026,10.16062546,55.03343201,-73.9169,42.0177,NA,NA
17,Bard,Bard5,1,0.861999989,9.702804565,57.67898178,-73.9169,42.0177,0.835,0.515
18,Bard,Bard5,2,0.847000003,8.508730888,59.65448761,-73.9169,42.0177,0.841,0.551
19,Bard,Bard5,3,0.898999989,8.907915115,59.84795761,-73.9169,42.0177,NA,NA
20,Bear,Bear4,1,0.426999986,10.68909168,54.38018036,-71.3464,43.0975,0.563,0.49
21,Bear,Bear4,2,0.458000004,10.37507725,54.180439,-71.3464,43.0975,0.512,0.554
22,Bear,Bear6,1,0.418000013,10.08599949,54.4538269,-71.3464,43.0975,0.558,0.452
23,Bear,Bear6,2,0.495999992,10.5868721,55.19591141,-71.3464,43.0975,NA,NA
24,Bear,Bear7,1,0.418000013,10.94531059,54.23210526,-71.3464,43.0975,0.385,0.321
25,Bear,Bear7,2,0.379000008,11.16112232,54.13697052,-71.3464,43.0975,0.353,0.346
26,Bear,Bear7,3,0.419999987,11.50795841,54.4645195,-71.3464,43.0975,NA,NA
27,Brad,Brad3,1,0.418000013,10.37378502,55.06241989,-68.5284,44.9341,0.433,0.373
28,Brad,Brad3,2,0.337000012,10.85506821,54.39360809,-68.5284,44.9341,NA,NA
29,Brad,Brad4,1,0.615999997,10.03223705,56.60829926,-68.5284,44.9341,0.518,0.416
30,Brad,Brad4,2,0.545000017,10.68831348,55.06076431,-68.5284,44.9341,0.589,0.469
31,Brad,Brad4,3,0.644999981,9.723344803,57.99232483,-68.5284,44.9341,0.592,0.458
32,BRM,BRM2,1,0.35800001,9.395974159,54.50517654,-74.0261,41.4039,NA,NA
33,BRM,BRM2,2,0.388000011,9.695674896,56.60834503,-74.0261,41.4039,NA,NA
34,BRM,BRM3,1,0.446999997,10.37974739,54.08055115,-74.0261,41.4039,0.443,0.38
35,BRM,BRM3,2,0.458000004,9.970912933,54.45859909,-74.0261,41.4039,0.393,0.338
36,BRM,BRM3,3,0.432000011,9.781691551,55.60445786,-74.0261,41.4039,NA,NA
37,BRM,BRM4,1,0.537999988,10.34296608,55.91828156,-74.0261,41.4039,0.583,0.426
38,BRM,BRM4,2,0.47299999,11.31535244,53.6738739,-74.0261,41.4039,0.423,0.39
39,BRM,BRM4,3,0.578999996,9.743928909,56.27950668,-74.0261,41.4039,0.718,0.443
40,BRM,BRM7,1,0.526000023,10.29907799,55.2557373,-74.0261,41.4039,NA,NA
41,BRM,BRM7,2,0.579999983,10.07661438,55.2474823,-74.0261,41.4039,NA,NA
42,BRM,BRM8,1,0.670000017,11.21178436,54.02076721,-74.0261,41.4039,NA,NA
43,BRM,BRM8,2,0.586000025,10.99468708,54.16356277,-74.0261,41.4039,NA,NA
44,BRP,BRP6,1,0.54400003,10.45864105,54.38050079,-81.9538,35.9264,0.504,0.39
45,BRP,BRP6,2,0.381999999,12.09492588,52.10557556,-81.9538,35.9264,NA,NA
46,BRP,BRP6,3,0.601999998,9.790852547,56.85645676,-81.9538,35.9264,NA,NA
47,BRP,BRP7,1,0.389999986,10.0232296,55.28336334,-81.9538,35.9264,0.469,0.221
48,BRP,BRP7,2,0.472000003,10.43887806,54.93320084,-81.9538,35.9264,0.365,0.282
49,BRP,BRP7,3,0.381000012,12.19059849,52.19455719,-81.9538,35.9264,0.459,0.313
50,BRP,BRP8,1,0.558000028,9.833949089,55.48188782,-81.9538,35.9264,0.555,0.444
51,BRP,BRP8,2,0.595000029,10.58555889,54.85196304,-81.9538,35.9264,0.541,0.449
52,BRP,BRP9,1,0.479999989,10.54905415,54.56363678,-81.9538,35.9264,0.441,0.385
53,BRP,BRP9,2,0.555000007,10.69459248,54.07659531,-81.9538,35.9264,0.496,0.381
54,BRP,BRP9,3,0.430000007,10.85241604,54.3055191,-81.9538,35.9264,NA,NA
55,DSF,DSF11,1,0.597000003,10.43640518,55.3820076,-75.6117,41.2979,0.636,0.519
56,DSF,DSF11,2,0.532999992,10.75691032,55.56105804,-75.6117,41.2979,0.705,0.539
57,DSF,DSF11,3,0.518000007,10.2298708,56.6604805,-75.6117,41.2979,NA,NA
58,DW,DW1,1,0.532999992,9.760878563,56.66667938,-83.4919,35.6394,NA,NA
59,DW,DW1,2,0.526000023,7.115240574,62.30765533,-83.4919,35.6394,NA,NA
60,DW,DW1,3,0.463,9.219600677,57.50362396,-83.4919,35.6394,NA,NA
61,HSP,HSP04,1,0.5,6.756186008,58.70006943,-75.71728,41.022,0.414,0.429
62,HSP,HSP04,2,0.536000013,6.447823048,59.925457,-75.71728,41.022,0.497,0.287
63,HSP,HSP04,3,0.574999988,6.840722561,59.84908676,-75.71728,41.022,0.52,0.303
64,HSP,HSP1,1,0.469999999,8.363787651,55.55418777,-75.71728,41.022,0.419,0.327
65,HSP,HSP1,2,0.465999991,8.822353363,57.19489288,-75.71728,41.022,0.52,0.38
66,HSP,HSP1,3,0.503000021,7.999073505,57.59737015,-75.71728,41.022,0.445,0.33
67,HSP,HSP6,1,0.630999982,9.502994537,55.48365021,-75.71728,41.022,0.396,0.364
68,HSP,HSP6,2,0.351999998,10.01893902,54.0956192,-75.71728,41.022,0.476,0.359
69,KBH,KBH2,1,0.354000002,10.09519577,55.67253113,-69.9211,44.5676,0.366,0.242
70,KBH,KBH5,1,0.437000006,8.956402779,56.27545166,-69.9211,44.5676,0.413,0.344
71,KBH,KBH5,2,0.583999991,9.619184494,56.83148193,-69.9211,44.5676,0.676,0.507
72,KBH,KBH5,3,0.790000021,9.768366814,56.97221756,-69.9211,44.5676,0.523,0.466
73,KBH,KBH5,4,0.5,10.47266579,55.35970688,-69.9211,44.5676,0.571,0.492
74,KBH,KBH6,1,0.48300001,9.312464714,55.9833107,-69.9211,44.5676,0.536,0.469
75,KBH,KBH6,2,0.462000012,9.730535507,57.0255394,-69.9211,44.5676,0.459,0.426
76,KBH,KBH8,1,0.448000014,7.621504784,59.6468544,-69.9211,44.5676,NA,NA
77,LGP,LGP3,1,0.411000013,9.851780891,55.01502991,-83.4919,35.6394,0.467,0.385
78,LGP,LGP3,2,0.463,10.12647152,54.66915512,-83.4919,35.6394,0.444,0.405
79,LGP,LGP5,1,0.582000017,9.718580246,55.69744492,-83.4919,35.6394,0.488,0.452
80,LGP,LGP5,2,0.467000008,10.10174179,55.76469421,-83.4919,35.6394,0.447,0.387
