Assay,SampleID,ColonyID,Site,Colony,rep,TimePoint,Peak_Concentration_mgP/L,P_mass_mg
CG_P,NSP10-1-F,NSP10,NSP,10,1,F,0.242,0.46
CG_P,NSP10-1-I,NSP10,NSP,10,1,I,0.515,0.738
CG_P,NSP10-2-F,NSP10,NSP,10,2,F,0.236,0.543
CG_P,NSP10-2-I,NSP10,NSP,10,2,I,0.431,0.728
CG_P,NSP10-3-F,NSP10,NSP,10,3,F,0.253,0.518
CG_P,NSP10-3-I,NSP10,NSP,10,3,I,0.384,0.58
CG_P,NSP11-1-I,NSP11,NSP,11,1,I,0.314,0.381
CG_P,NSP11-2-I,NSP11,NSP,11,2,I,0.302,0.376
CG_P,NSP11-3-I,NSP11,NSP,11,3,I,0.255,0.356
CG_P,NSP1-1-I,NSP1,NSP,1,1,I,0.252,0.298
CG_P,NSP1-2-I,NSP1,NSP,1,2,I,0.343,0.407
CG_P,NSP1-3-I,NSP1,NSP,1,3,I,0.335,0.476
CG_P,NSP12QL-1-I,NSP12QL,NSP,12QL,1,I,0.387,0.475
CG_P,NSP12QL-2-I,NSP12QL,NSP,12QL,2,I,0.326,0.424
CG_P,NSP12QL-3-I,NSP12QL,NSP,12QL,3,I,0.381,0.466
CG_P,NSP14-1-F,NSP14,NSP,14,1,F,0.268,0.492
CG_P,NSP14-1-I,NSP14,NSP,14,1,I,0.418,0.611
CG_P,NSP14-2-I,NSP14,NSP,14,2,I,0.407,0.622
CG_P,NSP14-3-I,NSP14,NSP,14,3,I,0.461,0.832
CG_P,NSP15-1-F,NSP15,NSP,15,1,F,0.431,0.811
CG_P,NSP15-1-I,NSP15,NSP,15,1,I,0.464,0.699
CG_P,NSP15-2-F,NSP15,NSP,15,2,F,0.206,0.365
CG_P,NSP15-3-F,NSP15,NSP,15,3,F,0.2,0.359
CG_P,NSP2-1-I,NSP2,NSP,2,1,I,0.452,0.676
CG_P,NSP2-2-I,NSP2,NSP,2,2,I,0.399,0.565
