"","Site","Name","rep","CN_weight","Percent.N","Percent.C","Lon","Lat","P_weight","P","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10"
"1","APB","APB10",1,0.416000009,11.55722332,51.41690445,-73.8569,42.7196,0.688,0.467,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,-0.0252233581525175,-0.0363756111423777,-0.00553613870389705,0.00348736315494829,0.000209391363842501,8.98134093995496e-07,6.61583486584416e-06,-0.00108048315992375,6.02481062111742e-05,1.3235757280723e-05
"2","APB","APB10",2,0.483999997,11.66961956,52.9846077,-73.8569,42.7196,0.388,0.301,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,-0.0252233581525175,-0.0363756111423777,-0.00553613870389705,0.00348736315494829,0.000209391363842501,8.98134093995496e-07,6.61583486584416e-06,-0.00108048315992375,6.02481062111742e-05,1.3235757280723e-05
"3","APB","APB10",3,0.421999991,10.19817734,54.3344574,-73.8569,42.7196,0.444,0.26,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,-0.0252233581525175,-0.0363756111423777,-0.00553613870389705,0.00348736315494829,0.000209391363842501,8.98134093995496e-07,6.61583486584416e-06,-0.00108048315992375,6.02481062111742e-05,1.3235757280723e-05
"4","APB","APB10",4,0.620999992,10.53434086,55.52376175,-73.8569,42.7196,0.504,0.406,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,-0.0252233581525175,-0.0363756111423777,-0.00553613870389705,0.00348736315494829,0.000209391363842501,8.98134093995496e-07,6.61583486584416e-06,-0.00108048315992375,6.02481062111742e-05,1.3235757280723e-05
"5","APB","APB10",5,0.646000028,9.581285477,57.86336899,-73.8569,42.7196,0.526,0.444,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,-0.0252233581525175,-0.0363756111423777,-0.00553613870389705,0.00348736315494829,0.000209391363842501,8.98134093995496e-07,6.61583486584416e-06,-0.00108048315992375,6.02481062111742e-05,1.3235757280723e-05
"6","APB","APB10",6,0.333999991,9.558167458,57.0145607,-73.8569,42.7196,0.507,0.475,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,-0.0252233581525175,-0.0363756111423777,-0.00553613870389705,0.00348736315494829,0.000209391363842501,8.98134093995496e-07,6.61583486584416e-06,-0.00108048315992375,6.02481062111742e-05,1.3235757280723e-05
"7","APB","APB3",1,0.374000013,9.325390816,55.8381691,-73.8569,42.7196,0.383,0.343,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","APB","APB3",2,0.425000012,9.415559769,56.18628311,-73.8569,42.7196,0.516,0.382,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","APB","APB3",3,0.442999989,9.016492844,58.35673141,-73.8569,42.7196,NA,NA,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","APB","APB6",1,0.344000012,11.06208611,53.33930588,-73.8569,42.7196,0.371,0.358,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,-0.0269335736240958,-0.038079985918007,-0.00748450608035879,0.00467027396672018,0.00179714153009235,-2.60378677031555e-05,6.06980902718015e-06,-0.00223726401316402,0.00191916315500048,0.000226610510210921
"11","APB","APB6",2,0.39199999,11.09262276,54.09393311,-73.8569,42.7196,0.37,0.317,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,-0.0269335736240958,-0.038079985918007,-0.00748450608035879,0.00467027396672018,0.00179714153009235,-2.60378677031555e-05,6.06980902718015e-06,-0.00223726401316402,0.00191916315500048,0.000226610510210921
"12","APB","APB6",3,0.42899999,10.3271637,56.65911865,-73.8569,42.7196,0.369,0.313,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,-0.0269335736240958,-0.038079985918007,-0.00748450608035879,0.00467027396672018,0.00179714153009235,-2.60378677031555e-05,6.06980902718015e-06,-0.00223726401316402,0.00191916315500048,0.000226610510210921
"13","APB","APB7",1,0.442999989,9.984457016,56.19062042,-73.8569,42.7196,0.528,0.389,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,-0.0283426312097097,-0.0400445799764718,-0.00938331711459707,0.00597364758573808,0.00311867352450395,-8.19500113602865e-05,3.35204313302328e-05,-0.00126497281296182,0.00140457193557988,0.000448687619314986
"14","APB","APB7",2,0.382999986,10.14987946,57.20576096,-73.8569,42.7196,0.619,0.5,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,-0.0283426312097097,-0.0400445799764718,-0.00938331711459707,0.00597364758573808,0.00311867352450395,-8.19500113602865e-05,3.35204313302328e-05,-0.00126497281296182,0.00140457193557988,0.000448687619314986
"15","Bard","Bard3",1,0.799000025,9.974023819,56.0220871,-73.9169,42.0177,0.641,0.453,94,125,32,9271,291,-99,390,188,-18,210,-31,1058,104,69,11,299,226,287,231,-0.0232497433622031,-0.0338239006520933,-0.00298849872013169,0.00178721373379838,-0.00162546221639005,5.76742413637821e-05,-1.60581243413266e-05,-0.00142052310704933,0.00010124451590157,-0.000165208618516415
"16","Bard","Bard3",2,0.623000026,10.16062546,55.03343201,-73.9169,42.0177,NA,NA,94,125,32,9271,291,-99,390,188,-18,210,-31,1058,104,69,11,299,226,287,231,-0.0232497433622031,-0.0338239006520933,-0.00298849872013169,0.00178721373379838,-0.00162546221639005,5.76742413637821e-05,-1.60581243413266e-05,-0.00142052310704933,0.00010124451590157,-0.000165208618516415
"17","Bard","Bard5",1,0.861999989,9.702804565,57.67898178,-73.9169,42.0177,0.835,0.515,94,125,32,9271,291,-99,390,188,-18,210,-31,1058,104,69,11,299,226,287,231,0.325939789932962,0.0047206362204027,0.00216925709229006,0.000503107724948184,-0.0017987711587777,-3.82243789762345e-05,1.79375948926528e-05,3.81578618719126e-05,0.000104973165650736,0.000246285607100789
"18","Bard","Bard5",2,0.847000003,8.508730888,59.65448761,-73.9169,42.0177,0.841,0.551,94,125,32,9271,291,-99,390,188,-18,210,-31,1058,104,69,11,299,226,287,231,0.325939789932962,0.0047206362204027,0.00216925709229006,0.000503107724948184,-0.0017987711587777,-3.82243789762345e-05,1.79375948926528e-05,3.81578618719126e-05,0.000104973165650736,0.000246285607100789
"19","Bard","Bard5",3,0.898999989,8.907915115,59.84795761,-73.9169,42.0177,NA,NA,94,125,32,9271,291,-99,390,188,-18,210,-31,1058,104,69,11,299,226,287,231,0.325939789932962,0.0047206362204027,0.00216925709229006,0.000503107724948184,-0.0017987711587777,-3.82243789762345e-05,1.79375948926528e-05,3.81578618719126e-05,0.000104973165650736,0.000246285607100789
"20","Bear","Bear4",1,0.426999986,10.68909168,54.38018036,-71.3464,43.0975,0.563,0.49,73,125,31,9333,271,-124,395,27,-39,191,-52,1093,114,78,9,305,245,271,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Bear","Bear4",2,0.458000004,10.37507725,54.180439,-71.3464,43.0975,0.512,0.554,73,125,31,9333,271,-124,395,27,-39,191,-52,1093,114,78,9,305,245,271,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Bear","Bear6",1,0.418000013,10.08599949,54.4538269,-71.3464,43.0975,0.558,0.452,73,125,31,9333,271,-124,395,27,-39,191,-52,1093,114,78,9,305,245,271,255,-0.0274764666234516,-0.0387734387084558,-0.00819283259857724,0.00514603659377791,0.00232134802836788,-5.20213276851573e-05,5.53559567640265e-06,0.00693739227287083,-0.000549033947025438,0.000203840842955971
