Site,Name,rep,Analysis_Type,Weight_mg_CN,Percent-N,Percent-C,Long,Lat
APB,APB10-1-1,1,CN,0.416000009,11.55722332,51.41690445,-73.8569,42.7196
APB,APB10-1-2,2,CN,0.483999997,11.66961956,52.9846077,-73.8569,42.7196
APB,APB10-1-3,3,CN,0.421999991,10.19817734,54.3344574,-73.8569,42.7196
APB,APB10-2-1,1,CN,0.620999992,10.53434086,55.52376175,-73.8569,42.7196
APB,APB10-2-2,2,CN,0.646000028,9.581285477,57.86336899,-73.8569,42.7196
APB,APB10-2-3,3,CN,0.333999991,9.558167458,57.0145607,-73.8569,42.7196
APB,APB3-1,1,CN,0.374000013,9.325390816,55.8381691,-73.8569,42.7196
APB,APB3-2,2,CN,0.425000012,9.415559769,56.18628311,-73.8569,42.7196
APB,APB3-3,3,CN,0.442999989,9.016492844,58.35673141,-73.8569,42.7196
APB,APB6-1,1,CN,0.344000012,11.06208611,53.33930588,-73.8569,42.7196
APB,APB6-2,2,CN,0.39199999,11.09262276,54.09393311,-73.8569,42.7196
APB,APB6-3,3,CN,0.42899999,10.3271637,56.65911865,-73.8569,42.7196
APB,APB7-1,1,CN,0.442999989,9.984457016,56.19062042,-73.8569,42.7196
APB,APB7-2,2,CN,0.382999986,10.14987946,57.20576096,-73.8569,42.7196
Bard,Bard3-1,1,CN,0.799000025,9.974023819,56.0220871,-73.9169,42.0177
Bard,Bard3-2,2,CN,0.623000026,10.16062546,55.03343201,-73.9169,42.0177
Bard,Bard5-1,1,CN,0.861999989,9.702804565,57.67898178,-73.9169,42.0177
Bard,Bard5-2,2,CN,0.847000003,8.508730888,59.65448761,-73.9169,42.0177
Bard,Bard5-3,3,CN,0.898999989,8.907915115,59.84795761,-73.9169,42.0177
Bear,Bear4-1,1,CN,0.426999986,10.68909168,54.38018036,-71.3464,43.0975
Bear,Bear4-2,2,CN,0.458000004,10.37507725,54.180439,-71.3464,43.0975
Bear,Bear6-1,1,CN,0.418000013,10.08599949,54.4538269,-71.3464,43.0975
Bear,Bear6-2,2,CN,0.495999992,10.5868721,55.19591141,-71.3464,43.0975
Bear,Bear7-1,1,CN,0.418000013,10.94531059,54.23210526,-71.3464,43.0975
Bear,Bear7-2,2,CN,0.379000008,11.16112232,54.13697052,-71.3464,43.0975
Bear,Bear7-3,3,CN,0.419999987,11.50795841,54.4645195,-71.3464,43.0975
Brad,Brad3-1,1,CN,0.418000013,10.37378502,55.06241989,-68.5284,44.9341
Brad,Brad3-2,2,CN,0.337000012,10.85506821,54.39360809,-68.5284,44.9341
Brad,Brad4-1,1,CN,0.615999997,10.03223705,56.60829926,-68.5284,44.9341
