Site,Name,rep,P_weight,P
APB,APB10,1,0.688,0.467
APB,APB10,2,0.388,0.301
APB,APB10,3,0.444,0.26
APB,APB10,4,0.504,0.406
APB,APB10,5,0.526,0.444
APB,APB10,6,0.507,0.475
APB,APB3,1,0.383,0.343
APB,APB3,2,0.516,0.382
APB,APB4,1,0.602,0.497
APB,APB6,1,0.371,0.358
APB,APB6,2,0.37,0.317
APB,APB6,3,0.369,0.313
APB,APB7,1,0.528,0.389
APB,APB7,2,0.619,0.5
Bard,Bard3,1,0.641,0.453
Bard,Bard5,1,0.835,0.515
Bard,Bard5,2,0.841,0.551
Bear,Bear4,1,0.563,0.49
Bear,Bear4,2,0.512,0.554
Bear,Bear6,1,0.558,0.452
Bear,Bear7,1,0.385,0.321
Bear,Bear7,2,0.353,0.346
Brad,Brad3,1,0.433,0.373
Brad,Brad4,1,0.518,0.416
Brad,Brad4,2,0.589,0.469
Brad,Brad4,3,0.592,0.458
BRM,BRM10,1,0.474,0.384
BRM,BRM10,2,0.584,0.524
BRM,BRM3,1,0.443,0.38
BRM,BRM3,2,0.393,0.338
BRM,BRM4,1,0.583,0.426
BRM,BRM4,2,0.423,0.39
BRM,BRM4,3,0.718,0.443
BRM,BRM5,1,0.562,0.483
BRM,BRM5,2,0.496,0.425
BRP,BRP6,1,0.504,0.39
BRP,BRP7,1,0.469,0.221
BRP,BRP7,2,0.365,0.282
BRP,BRP7,3,0.459,0.313
BRP,BRP8,1,0.555,0.444
BRP,BRP8,2,0.541,0.449
BRP,BRP9,1,0.441,0.385
BRP,BRP9,2,0.496,0.381
BRM,BRM11,1,0.79,0.562
DSF,DSF11,1,0.636,0.519
DSF,DSF11,2,0.705,0.539
HSP,HSP04,1,0.414,0.429
HSP,HSP04,2,0.497,0.287
HSP,HSP04,3,0.52,0.303
HSP,HSP1,1,0.419,0.327
HSP,HSP1,2,0.52,0.38
HSP,HSP1,3,0.445,0.33
HSP,HSP6,1,0.396,0.364
HSP,HSP6,2,0.476,0.359
KBH,KBH2,1,0.366,0.242
KBH,KBH5,1,0.413,0.344
KBH,KBH5,2,0.676,0.507
KBH,KBH5,3,0.523,0.466
KBH,KBH5,4,0.571,0.492
KBH,KBH6,1,0.536,0.469
KBH,KBH6,2,0.459,0.426
LDW,LDW1,1,0.547,0.395
LDW,LDW1,2,0.397,0.378
LGP,LGP3,1,0.467,0.385
LGP,LGP3,2,0.444,0.405
LGP,LGP3,3,0.485,0.419
LGP,LGP5,1,0.488,0.452
LGP,LGP5,2,0.447,0.387
Ljams,Ljams1,1,0.555,0.511
Ljams,Ljams1,2,0.487,0.437
Ljams,Ljams3,1,0.408,0.346
Ljams,Ljams3,2,0.379,0.325
Ljams,Ljams3,3,0.535,0.435
LVA,LVA11,1,0.511,0.353
LVA,LVA11,2,0.568,0.549
LVA,LVA11,3,0.672,0.556
LVA,LVA2,1,0.692,0.427
LVA,LVA2,2,0.551,0.768
LVA,LVA2,3,0.441,0.35
LVA,LVA3,1,0.368,0.288
LVA,LVA3,2,0.468,0.287
MB,MB06,1,0.37,0.261
MB,MB06,2,0.486,0.302
MB,MB06,3,0.37,0.215
MB,MB1,1,0.408,0.299
MB,MB1,2,0.484,0.366
MB,MB1,3,0.521,0.347
MB,MB2,1,0.549,0.334
MB,MB2,2,0.445,0.294
MB,MB2,3,0.539,0.316
Nock,Nock6,1,0.453,0.373
Nock,Nock6,2,0.557,0.423
Notch,Notch1,1,0.51,0.442
Notch,Notch1,2,0.67,0.592
Notch,Notch3,1,0.805,0.696
Notch,Notch3,2,0.471,0.428
Notch,Notch4,1,0.571,0.506
Notch,Notch4,2,0.581,0.543
Notch,Notch4,3,0.642,0.548
NSP,NSP11,1,0.551,0.479
NSP,NSP11,2,0.557,0.52
NSP,NSP11,3,0.517,0.443
NSP,NSP2,1,0.561,0.563
NSP,NSP2,2,0.507,0.433
NSP,NSP3,1,0.599,0.505
NSP,NSP3,2,0.637,0.501
NSP,NSP3,3,0.614,0.518
RC,RC02,1,0.412,0.36
RC,RC02,2,0.591,0.319
RC,RC06,1,0.499,0.287
RC,RC06,2,0.529,0.283
RC,RC09,1,0.458,0.278
RC,RC16,1,0.522,0.299
RC,RC16,2,0.535,0.3
RW,RW5,1,0.467,0.479
RW,RW5,2,0.561,0.549
SEB,SEB2,1,0.582,0.474
SEB,SEB3,1,0.324,0.289
SEB,SEB9,1,0.51,0.36
UNF,UNF3,1,0.482,0.299
UNF,UNF3,2,0.573,0.372
UNF,UNF3,3,0.718,0.282
UNF,UNF6,1,0.463,0.302
UNF,UNF6,2,0.349,0.371
UNF,UNF6,3,0.471,0.308
UNF,UNF7,1,0.382,0.347
UNF,UNF7,2,0.264,0.267
UNF,UNF7,3,0.352,0.352
WP,WP11,1,0.495,0.522
WP,WP11,2,0.403,0.365
WP,WP6,1,0.563,0.549
WP,WP6,2,0.535,0.513
WP,WP8,1,0.493,0.514
WP,WP8,2,0.472,0.436
YM,YM01,1,0.763,0.415
YM,YM01,2,0.683,0.354
YM,YM02,1,0.608,0.364
YM,YM02,2,0.445,0.358
YM,YM03,3,0.748,0.299
