colonyID2,ColonyID_sara,Axis.1,Axis.2,Axis.3,Axis.4,Axis.5,Axis.6,Axis.7,Axis.8,Axis.9,Axis.10
BRM2,BRM2,-0.025584136,-0.036467949,-0.005812916,0.003586654,0.000547005,2.12E-06,-6.10E-07,-0.00138467,0.000238517,-9.84E-05
BRM5,BRM5,-0.022334315,-0.032747131,-0.001863821,0.001062439,-0.002472284,7.70E-05,-2.10E-05,-0.001158163,-0.000634426,-0.000333084
BRM3,BRM3,-0.021100486,-0.031348566,-0.000375637,0.000116211,-0.00361176,0.000101998,-2.74E-05,-0.001228798,-0.000854861,-0.000412061
NOTCH1,Notch1,-0.026590554,-0.037632303,-0.007042567,0.004375764,0.001482999,-2.16E-05,5.94E-06,-0.001647267,0.000577723,-3.88E-05
BRM11,BRM11,-0.030972845,-0.042689099,-0.012464664,0.00788368,0.005686226,-0.000279657,0.00015671,-0.00827227,-0.01549751,-0.002119284
BRM4,BRM4,-0.025525031,-0.036397698,-0.00573884,0.003538285,0.000490473,5.19E-06,-2.22E-06,-0.001283049,0.000357705,-8.00E-05
BRM7,BRM7,-0.023162207,-0.033691739,-0.002866632,0.001701987,-0.001705791,5.99E-05,-1.70E-05,-0.001133125,-0.000335669,-0.000261746
DSF11,DSF11,-0.023254967,-0.033833189,-0.003001421,0.001798366,-0.001612264,4.76E-05,-7.40E-06,-0.002043518,-0.00167793,-0.000506633
RW5,RW5,-0.026783899,-0.037888037,-0.007299829,0.00455056,0.00167111,-3.93E-05,1.98E-05,-0.002878985,-0.001555172,-0.00042408
BRM10,BRM10,-0.021546013,-0.031778196,-0.000873499,0.000414096,-0.003202955,9.95E-05,-3.22E-05,-3.16E-06,0.000394699,-0.000116318
BRAD4,Brad4-2,-0.023167754,-0.033633764,-0.002841071,0.001670324,-0.0017004,6.63E-05,-2.58E-05,0.000315444,0.001505854,0.00014764
BRM8,BRM8,-0.024869424,-0.035572501,-0.004905147,0.002987767,-0.000117534,2.75E-05,-1.70E-05,0.000642102,0.002599933,0.000427658
NOTCH4,Notch4,-0.027022512,-0.038348248,-0.007674681,0.004831725,0.001874884,-2.58E-05,-6.88E-06,0.009159165,-0.00150968,-6.53E-06
BRAD3,BRAD3,-0.019372645,-0.029391543,0.001709128,-0.001209528,-0.005210101,0.000138265,-3.78E-05,-0.000305704,-0.001410736,-0.000509327
SEB9,SEB9,-0.025190135,-0.036051962,-0.00535343,0.003302125,0.000183342,1.04E-05,-5.68E-06,0.000825873,-0.000118143,-6.93E-05
MB1,MB1,-0.024542383,-0.035305764,-0.004563155,0.002795534,-0.000419852,2.62E-05,-9.72E-06,0.000641704,-0.000295303,-0.000129219
SEB2,SEB2,-0.028270365,-0.039723089,-0.009182028,0.005789944,0.00306517,-7.49E-05,9.17E-06,0.009846764,-0.000872093,0.000311576
SEB3,SEB3,-0.024216497,-0.03502463,-0.004217467,0.002598563,-0.000716708,2.91E-05,-1.48E-05,0.004953166,-0.001205364,-0.000124196
KBH5,KBH5,-0.025233922,-0.036194593,-0.005454326,0.003389561,0.000224967,7.86E-06,-9.94E-06,0.005397949,-0.001065286,-5.99E-05
BEAR6,Bear6,-0.027476467,-0.038773439,-0.008192833,0.005146037,0.002321348,-5.20E-05,5.54E-06,0.006937392,-0.000549034,0.000203841
BEAR7,BEAR7,-0.023216516,-0.033848306,-0.002984273,0.001801727,-0.001649163,5.46E-05,-1.98E-05,0.003040015,-0.00113189,-0.000226948
KBH2,KBH2,-0.024445377,-0.03526744,-0.004482081,0.002761431,-0.000510371,2.80E-05,-1.39E-05,0.003878838,-0.001007371,-0.000142148
KBH8,KBH8,-0.025573533,-0.036570657,-0.005859259,0.003644736,0.000538352,1.74E-06,-7.88E-06,0.004749035,-0.000872366,-4.92E-05
BARD3,Bard3,-0.023249743,-0.033823901,-0.002988499,0.001787214,-0.001625462,5.77E-05,-1.61E-05,-0.001420523,0.000101245,-0.000165209
NOTCH3,Notch3r,-0.0248918,-0.035710574,-0.004988103,0.003067296,-9.84E-05,1.92E-05,-5.68E-06,-0.001619486,0.000806469,8.76E-06
APB6,APB6,-0.026933574,-0.038079986,-0.007484506,0.004670274,0.001797142,-2.60E-05,6.07E-06,-0.002237264,0.001919163,0.000226611
BRP6,BRP6,-0.027046666,-0.03826191,-0.007652682,0.004792305,0.001909178,-3.61E-05,1.11E-05,-0.004401446,0.006480088,0.001312917
BRP9,BRP9,-0.022290409,-0.032708347,-0.00181405,0.00103238,-0.002516752,8.05E-05,-2.25E-05,-0.001008678,-0.000822161,-0.000379199
BRP8,BRP8,-0.027060466,-0.038243314,-0.00766092,0.004793009,0.001937108,-4.61E-05,1.51E-05,-0.003805063,0.006055328,0.001287178
GSMNP3,GSMNP3,-0.024282658,-0.035043472,-0.004269224,0.002617674,-0.000654318,2.57E-05,-5.75E-06,-0.00279674,0.003152486,0.000559267
