"","colonyID2","CN.colony.mass","N.percent.colony","C.percent.colony","P.ave.colony","P.mass.colony","lat","MAP","DRT","APS","MAT","colonyID","P.ave.percent.colony","ColonyID_sara","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Comp.1","Comp.2","Comp.3"
"1","APB10",0.487166668,10.516469,54.85627683,-2.112881459,0.5095,42.7196,959,117,13,8.4,"APB10",0.771113917,"APB10",-0.025223358,-0.036375611,-0.005536139,0.003487363,0.000209391,8.98e-07,6.62e-06,-0.001080483,6.02e-05,1.32e-05,1.64228913725365,-0.707025947813392,-0.624856672050138
"2","APB6",0.388333331,10.82729086,54.69745255,-2.050617344,0.37,42.7196,959,117,13,8.4,"APB6",0.889984936,"APB6",-0.026933574,-0.038079986,-0.007484506,0.004670274,0.001797142,-2.6e-05,6.07e-06,-0.002237264,0.001919163,0.000226611,1.64228913725365,-0.707025947813392,-0.624856672050138
"3","APB7",0.412999988,10.06716824,56.69819069,-2.112242964,0.5735,42.7196,959,117,13,8.4,"APB7",0.772248433,"APB7-2",-0.028342631,-0.04004458,-0.009383317,0.005973648,0.003118674,-8.2e-05,3.35e-05,-0.001264973,0.001404572,0.000448688,1.64228913725365,-0.707025947813392,-0.624856672050138
"4","BARD3",0.711000026,10.06732464,55.52775956,-2.150759828,0.641,42.0177,1054,125,11,9.1,"BARD3",0.706708268,"Bard3",-0.023249743,-0.033823901,-0.002988499,0.001787214,-0.001625462,5.77e-05,-1.61e-05,-0.001420523,0.000101245,-0.000165209,0.0994341277258917,-0.395776295924592,-1.05792287662838
"5","BARD5",0.869333327,9.039816856,59.06047567,-2.196563753,0.838,42.0177,1054,125,11,9.1,"BARD5",0.63596944,"Bard5",0.32593979,0.004720636,0.002169257,0.000503108,-0.001798771,-3.82e-05,1.79e-05,3.82e-05,0.000104973,0.000246286,0.0994341277258917,-0.395776295924592,-1.05792287662838
"6","BEAR6",0.457000003,10.3364358,54.82486916,-2.091495764,0.558,43.0975,1053,127,9,7.6,"BEAR6",0.810035842,"Bear6",-0.027476467,-0.038773439,-0.008192833,0.005146037,0.002321348,-5.2e-05,5.54e-06,0.006937392,-0.000549034,0.000203841,-0.0788360989430059,0.223989231014309,-1.78510255722881
"7","BEAR7",0.405666669,11.20479711,54.27786509,-2.042407986,0.369,43.0975,1053,127,9,7.6,"BEAR7",0.906968103,"BEAR7",-0.023216516,-0.033848306,-0.002984273,0.001801727,-0.001649163,5.46e-05,-1.98e-05,0.003040015,-0.00113189,-0.000226948,-0.0788360989430059,0.223989231014309,-1.78510255722881
"8","BRAD3",0.377500013,10.61442662,54.72801399,-2.064779065,0.433,44.9341,1065,117,12,6.1,"BRAD3",0.861431871,"BRAD3",-0.019372645,-0.029391543,0.001709128,-0.001209528,-0.005210101,0.000138265,-3.78e-05,-0.000305704,-0.001410736,-0.000509327,1.29742459561693,0.342106333794846,-0.523588976949878
"9","BRAD4",0.601999998,10.14796511,56.55379613,-2.101823094,0.566333333,44.9341,1065,117,12,6.1,"BRAD4",0.791000769,"Brad4-2",-0.023167754,-0.033633764,-0.002841071,0.001670324,-0.0017004,6.63e-05,-2.58e-05,0.000315444,0.001505854,0.00014764,1.29742459561693,0.342106333794846,-0.523588976949878
"10","BRM10",NA,NA,NA,-2.068698062,0.529,41.4039,1156,113,9,9.6,"BRM10",0.853693428,"BRM10",-0.021546013,-0.031778196,-0.000873499,0.000414096,-0.003202955,9.95e-05,-3.22e-05,-3.16e-06,0.000394699,-0.000116318,-0.00797128498103328,1.20969068267507,0.212170612614691
"11","BRM11",NA,NA,NA,-2.147890776,0.79,41.4039,1156,113,9,9.6,"BRM11",0.711392405,"BRM11",-0.030972845,-0.042689099,-0.012464664,0.00788368,0.005686226,-0.000279657,0.00015671,-0.00827227,-0.01549751,-0.002119284,-0.00797128498103328,1.20969068267507,0.212170612614691
